['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '1', '0.0', 'enonce', '()', '0', '8x{@^[2]}-7x+8-(-8x{@^[2]}+7x+9)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '33', '0.3', 'x', '()', '1', '8x{@^[2]}-7x+8=8x', '()', '(1 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '34', '1.4', '{@^[2]}', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}', '()', '(1 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '35', '1.8', '-', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-?', '()', '(1 1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '36', '2.1', '7', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-7', '()', '(1 1 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '37', '0.2', 'x', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-7x', '()', '(1 1 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '38', '2.2', '-', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-7x-?', '()', '(1 2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '39', '0.5', '9', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-7x-9', '()', '(1 2 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '40', '2.8', 'placerCurseur', '()', '1', '8x{@^[2]}-7x+8=8x{@^[2]}-7x-9', '()', '(1 0 0 0 devant)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '41', '0.8', 'BackSpace', '()', '1', '8x{@^[2]}-7x+88x{@^[2]}-7x-9', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '42', '1.0', '-', '()', '1', '8x{@^[2]}-7x+8-8x{@^[2]}-7x-9', '()', '(3 0 0 0 devant)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '43', '2.5', 'BackSpace', '()', '1', '8x{@^[2]}-7x+88x{@^[2]}-7x-9', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '44', '0.4', '+', '()', '1', '8x{@^[2]}-7x+8+8x{@^[2]}-7x-9', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '45', '1.6', 'dupliquer', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-7x-9', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '46', '0.6', 'placerCurseur', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-7x-9', '()', '(5 0 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '47', '2.0', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-7x-?', '()', '(5 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '48', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-7x', '()', '(4 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '49', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-7', '()', '(4 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '50', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}-?', '()', '(4 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '51', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x{@^[2]}', '()', '(3 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '52', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8x', '()', '(3 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '53', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+8', '()', '(3 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '54', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8+?', '()', '(3 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '55', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+8', '()', '(2 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '56', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x+?', '()', '(2 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '57', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '58', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-7', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '59', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '60', '0.1', 'BackSpace', '()', '2', '8x{@^[2]}', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '61', '0.1', 'BackSpace', '()', '2', '8x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '62', '0.1', 'BackSpace', '()', '2', '8', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '63', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '64', '3.9', '1', '()', '2', '1', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '65', '0.1', '6', '()', '2', '16', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '66', '0.2', 'x', '()', '2', '16x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '67', '1.7', '{@^[2]}', '()', '2', '16x{@^[2]}', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '68', '3.6', '-', '()', '2', '16x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '69', '1.9', '1', '()', '2', '16x{@^[2]}-1', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '70', '0.0', '4', '()', '2', '16x{@^[2]}-14', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '71', '0.2', 'x', '()', '2', '16x{@^[2]}-14x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '72', '4.6', '-', '()', '2', '16x{@^[2]}-14x-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '73', '0.3', '1', '()', '2', '16x{@^[2]}-14x-1', '()', '(2 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '74', '3.7', 'resolu', '()', '2', '16x{@^[2]}-14x-1', '()', '(2 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '75', '0.0', 'termine', '()', '2', '16x{@^[2]}-14x-1', '()', '(2 0 0 derriere)', 'rien', 'V1', 'S1']
