['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '1', '0.0', 'enonce', '()', '0', '-(x-8)-(8x+7)', '()', '(0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '49', '13.0', '8', '()', '2', '-8', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '50', '1.8', 'x', '()', '2', '-8x', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '51', '1.8', '{@^[2]}', '()', '2', '-8x{@^[2]}', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '52', '5.3', '+', '()', '2', '-8x{@^[2]}+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '53', '1.1', '5', '()', '2', '-8x{@^[2]}+5', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '54', '0.2', '6', '()', '2', '-8x{@^[2]}+56', '()', '(1 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '55', '1.0', 'BackSpace', '()', '2', '-8x{@^[2]}+5', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '56', '0.1', 'BackSpace', '()', '2', '-8x{@^[2]}+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '57', '8.2', 'BackSpace', '()', '2', '-8x{@^[2]}', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '58', '0.8', '-', '()', '2', '-8x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '59', '0.4', '5', '()', '2', '-8x{@^[2]}-5', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '60', '0.1', '6', '()', '2', '-8x{@^[2]}-56', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '61', '1.0', 'BackSpace', '()', '2', '-8x{@^[2]}-5', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '62', '0.1', 'BackSpace', '()', '2', '-8x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '63', '0.2', 'BackSpace', '()', '2', '-8x{@^[2]}', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '64', '1.9', 'BackSpace', '()', '2', '-8x', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '65', '0.1', 'BackSpace', '()', '2', '-8', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '66', '0.3', 'BackSpace', '()', '2', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '67', '1.5', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '0', '0.0', 'structure', '()', '(d 0 1)', '()', '()', '()', '()', '()', '()']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '68', '0.3', 'SupprEtape', '()', '1', '-x+8-(8x+7)', '()', '(2 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '69', '28.7', 'dupliquer', '()', '3', '-x+8-(8x+7)', '()', '(2 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '70', '0.8', 'placerCurseur', '()', '3', '-x+8-(8x+7)', '()', '(2 0 0 0 1 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '71', '1.4', 'placerCurseur', '()', '3', '-x+8-(8x+7)', '()', '(2 0 0 0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '72', '0.8', 'BackSpace', '()', '3', '-x+8-8x+7', '()', '(2 0 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '73', '0.6', 'droite', '()', '3', '-x+8-8x+7', '()', '(2 0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '74', '0.2', 'droite', '()', '3', '-x+8-8x+7', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '75', '0.2', 'droite', '()', '3', '-x+8-8x+7', '()', '(3 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '76', '0.9', 'BackSpace', '()', '3', '-x+8-8x7', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '77', '0.3', '-', '()', '3', '-x+8-8x-7', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '78', '5.6', 'dupliquer', '()', '4', '-x+8-8x-7', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '79', '7.5', 'placerCurseur', '()', '4', '-x+8-8x-7', '()', '(0 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '80', '1.3', 'BackSpace', '()', '4', '-?+8-8x-7', '()', '(0 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '81', '3.0', '9', '()', '4', '-9+8-8x-7', '()', '(0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '82', '1.4', 'x', '()', '4', '-9x+8-8x-7', '()', '(0 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '83', '2.1', 'placerCurseur', '()', '4', '-9x+8-8x-7', '()', '(2 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '84', '0.6', 'placerCurseur', '()', '4', '-9x+8-8x-7', '()', '(2 0 1 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '85', '0.4', 'placerCurseur', '()', '4', '-9x+8-8x-7', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '86', '0.6', 'BackSpace', '()', '4', '-9x+8-8-7', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '87', '0.1', 'BackSpace', '()', '4', '-9x+8-?-7', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '88', '0.9', 'BackSpace', '()', '4', '-9x+8-7', '()', '(1 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '89', '0.4', 'BackSpace', '()', '4', '-9x+?-7', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '90', '0.8', 'droite', '()', '4', '-9x+?-7', '()', '(2 0 0 devant)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '91', '0.1', 'droite', '()', '4', '-9x+?-7', '()', '(2 0 0 derriere)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '92', '1.0', 'BackSpace', '()', '4', '-9x+?-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '93', '0.3', 'BackSpace', '()', '4', '-9x+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '94', '0.8', '1', '()', '4', '-9x+1', '()', '(1 0 derriere)', 'rien', 'V1', 'S1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '95', '0.1', '5', '()', '4', '-9x+15', '()', '(1 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '96', '1.3', 'gauche', '()', '4', '-9x+15', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '97', '0.1', 'gauche', '()', '4', '-9x+15', '()', '(1 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '98', '0.8', 'BackSpace', '()', '4', '-9x15', '()', '(0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '99', '0.3', '-', '()', '4', '-9x-15', '()', '(1 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '100', '1.3', 'placerCurseur', '()', '4', '-9x-15', '()', '(0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '101', '0.6', 'BackSpace', '()', '4', '9x-15', '()', '(0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '102', '6.4', '-', '()', '4', '-9x-15', '()', '(0 0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '103', '1.8', 'placerCurseur', '()', '4', '-9x-15', '()', '(0 0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '104', '5.0', '{@^[2]}', '()', '4', '-9x{@^[2]}-15', '()', '(0 0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '105', '1.2', 'placerCurseur', '()', '4', '-9x{@^[2]}-15', '()', '(0 0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '106', '0.9', 'BackSpace', '()', '4', '9x{@^[2]}-15', '()', '(0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '107', '1.7', '-', '()', '4', '-9x{@^[2]}-15', '()', '(0 0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '108', '1.6', 'placerCurseur', '()', '4', '-9x{@^[2]}-15', '()', '(0 0 0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '109', '0.7', 'BackSpace', '()', '4', '-x{@^[2]}-15', '()', '(0 0 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '110', '0.6', '8', '()', '4', '-8x{@^[2]}-15', '()', '(0 0 0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '111', '3.0', 'placerCurseur', '()', '4', '-8x{@^[2]}-15', '()', '(1 0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '112', '3.0', 'BackSpace', '()', '4', '-8x{@^[2]}15', '()', '(0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '113', '2.0', 'droite', '()', '4', '-8x{@^[2]}*15', '()', '(0 2 0 derriere)', 'rien', 'V0', 'N0']
