['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '1', '0.0', 'enonce', '()', '0', '-5x-2-(3x-9)+7x-9', '()', '(0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '27', '0.1', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '28', '7.3', '5', '()', '1', '5', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '29', '1.3', 'x', '()', '1', '5x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '30', '28.4', '-', '()', '1', '5x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '31', '0.5', '2', '()', '1', '5x-2', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '32', '13.0', 'BackSpace', '()', '1', '5x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '33', '0.2', 'BackSpace', '()', '1', '5x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '34', '0.2', 'BackSpace', '()', '1', '5', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '35', '0.2', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '36', '1.0', '-', '()', '1', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '37', '1.2', 'x', '()', '1', '-x', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '38', '0.5', '-', '()', '1', '-x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '39', '0.8', '2', '()', '1', '-x-2', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '40', '4.6', 'resolu', '()', '1', '-x-2', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '13:56:11', 'B1', '41', '0.0', 'termine', '()', '1', '-x-2', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
