['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '1', '0.0', 'enonce', '()', '0', '-(-4x+2)-(3x+1)', '()', '(0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '52', '0.1', 'BackSpace', '()', '2', '4x-2', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '53', '0.1', 'BackSpace', '()', '2', '4x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '54', '0.3', 'BackSpace', '()', '2', '4x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '55', '0.2', 'BackSpace', '()', '2', '4', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '56', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '57', '12.3', '7', '()', '2', '7', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '58', '0.6', 'x', '()', '2', '7x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '59', '6.5', '-', '()', '2', '7x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '60', '6.7', '1', '()', '2', '7x-1', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '61', '4.1', 'BackSpace', '()', '2', '7x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '62', '0.1', 'BackSpace', '()', '2', '7x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '63', '0.3', 'BackSpace', '()', '2', '7', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '64', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '65', '3.4', 'x', '()', '2', 'x', '()', '(derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '66', '2.1', '-', '()', '2', 'x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '67', '2.4', '1', '()', '2', 'x-1', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '68', '3.3', 'BackSpace', '()', '2', 'x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '69', '0.7', 'BackSpace', '()', '2', 'x', '()', '(derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '70', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '71', '26.3', '1', '()', '2', '1', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '72', '1.4', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '73', '0.9', 'x', '()', '2', 'x', '()', '(derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '74', '2.1', '-', '()', '2', 'x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '75', '13.3', '3', '()', '2', 'x-3', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '76', '4.0', 'resolu', '()', '2', 'x-3', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:38:15', 'B1', '77', '0.0', 'termine', '()', '2', 'x-3', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
