['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '1', '0.0', 'enonce', '()', '0', '6x+3-(x+9)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '50', '3.6', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '0', '0.0', 'structure', '()', '0', '()', '()', '()', '()', '()', '()']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '51', '1.2', 'SupprEtape', '()', '0', '6x+3-(x+9)', '()', '(2 0 derriere)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '52', '2.4', 'dupliquer', '()', '2', '6x+3-(x+9)', '()', '(2 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '53', '7.8', 'BackSpace', '()', '2', '6x+3-x+9', '()', '(3 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '54', '0.2', 'BackSpace', '()', '2', '6x+3-x+?', '()', '(3 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '55', '0.1', 'BackSpace', '()', '2', '6x+3-x', '()', '(2 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '56', '0.1', 'BackSpace', '()', '2', '6x+3-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '57', '0.1', 'BackSpace', '()', '2', '6x+3', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '58', '0.1', 'BackSpace', '()', '2', '6x+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '59', '0.4', 'BackSpace', '()', '2', '6x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '60', '0.2', 'BackSpace', '()', '2', '6', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '61', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '62', '10.0', '9', '()', '2', '9', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '63', '1.1', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '64', '4.5', '5', '()', '2', '5', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '65', '6.3', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '66', '22.2', '5', '()', '2', '5', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '67', '3.9', 'x', '()', '2', '5x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '68', '0.4', '-', '()', '2', '5x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '69', '1.4', '6', '()', '2', '5x-6', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '70', '16.6', 'resolu', '()', '2', '5x-6', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
['St. Paul', '1', 7, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:41:32', 'B1', '71', '0.0', 'termine', '()', '2', '5x-6', '()', '(1 0 0 derriere)', 'rien', 'V1', 'S1']
